Usuario,Mensagem,Localizacao
NaninhaBrbs,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",Curitiba - Pr - Brasil
4zgher,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
CAPrefeito,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Curitiba
rachelfernandez,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","São Paulo, Brazil"
DayseMurielly,RT @DanielSpacof: Em um minuto falou mais que os outros em meia hora hahaha #JoãoNoJN https://t.co/TxstSiiuUi,Brasil
crvgdanii,"RT @julyleonetti: Brasil pode mudar... é só querer! Mas só um minuto pra um candidato com tanto a dizer, é ridículo! #JoãoNoJN https://t.co…",
betomagnetoo,"RT @MrLeandroMR: Pena que foi tão pouco ☹️
#JoãoNoJN",Brasil
Amandinhasep,"1 minuto não dá ne, essa Globo ta de palhaçada com eleitor #JoãoNoJN",Sampa/ Brasil
acltonilima,#JoãoNoJN vamos mostrar o Novo.,
4zgher,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
annelisedall,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
rayslan_freire,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Anápolis, Brasil"
Adriano13Sousa,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,Itabatan-BA-Brasil
TrendsCuritiba,"#joãonojn é tendência em #Curitiba

https://t.co/RZOfMtLe22 https://t.co/cKEIWgzmnD","Curitiba, Brasil"
NaninhaBrbs,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Curitiba - Pr - Brasil
jeniiferpereira,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
ANACRIS27619887,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
portellada,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,Brasil sil sil
marco_sjk,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,"Araraquara, Brasil"
CarlosABarbosa,"RT @tr3v4: Pense #Novo! Vote Novo 30! @partidonovo30 @joaoamoedonovo 🌊🍊
#JoãoNoJN https://t.co/th8Vm8rSOx",Goiânia-Goiás
luizfelipezap,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
estevaoaribeiro,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Cachoeiro de Itapemirim, Brasil"
Felicid37376030,"RT @mauriciomusa: @joaoamoedonovo Mandou bem João, como sempre... tmj 
#JoãoNoJN #amoedonosdebates #AmoedoNoJN",
CristinaPrztt,#JoãoNoJN Pelo fim do fundo público de campanha,"São Paulo, Brasil"
Soraya30789,"RT @_apaullav: É como aquele ditado: falou pouco, mas falou bonito. Meu candidato é @joaoamoedonovo. Eu quero a mudança, eu quero um novo p…","Minas Gerais, Brasil"
renatoksoriano1,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","São Paulo, Brasil"
pedroogesteira,"#AmoedoNoJN #JoãoNoJN 
Como usar 40seg melhor que 27min",from christmas city
dimaslopes,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",World
ElevaGuindastes,RT @vivianevers18: queria que as pessoas parassem pra ouvir ou pesquisar as ideias do jõao #JoãoNoJN,"São José, Brasil"
ANACRIS27619887,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
marcoaurelio123,"RT @1uizfernando: O #JoãoNoJN em um minuto falou melhor que muitos dos outros candidatos somados. Se ele concretizar essas propostas, seria…",
yanhaeffner,"Alguns segundos de #JoãoNoJN rendendo mais do que 100 minutos dos """"""""melhores colocados"""""""" do resto da semana.
Imaginem 4 anos...",Porto Alegre - RS
LariGirotto07,"Se não é o candidato mais bem preparado, não sei quem é! #JoãoNoJN","Maringá, Brasil"
IsaVasconcellos,"João Amoêdo não está no mesmo patamar dos candidatos que apareceram hoje, chega a ser injusto. #JoãoNoJN",
CAPrefeito,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,Curitiba
renatoksoriano1,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","São Paulo, Brasil"
nubialaytynher,@joaoamoedonovo Só assisti O JN par causa de #JoãoNoJN,"Tds cantos,encantos e Axé!"
maferperina,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
wlmpjr,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,Curitiba-PR
caiospfcb77,Meu candidato é o João Amoedo! #JoãoNoJN,"Brasil, Bauru-SP"
Viny966,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Rio de Janeiro, Brasil"
EvelynkMendes,#JoãoNoJN 1 minuto mais bem aproveitado do que os 27 falando abobrinha...👏👏👏,"Campinas, Brasil"
medmarco17,RT @pankecamaceio: O Brasil q eu quero é @joaoamoedonovo presidente ........ #JoãoNoJN,
CaioQuinterno,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Luziânia, Brasil"
lucascarvalho47,"RT @Garuti1985: #JoãoNoJN assim.como qualquer outro candidato, merece espaço para apresentar suas propostas e idéias, a Tv e imprensa em ge…",
Bufoparacnemis,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Ribeirão Preto, Brasil"
teodorfabiano,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",Londrina-PR
Viny966,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Rio de Janeiro, Brasil"
medmarco17,RT @isaacbm: 1 minuto com @joaoamoedonovo valeu mais que a semana com os outros  #JoãoNoJN,
BrunoWiz,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","São Paulo, Brasil"
eupedrohsilva,"""Reduzir verbas de gabinete"" #JoãoNoJN #Novo #EuSouNovo","Matozinhos, Minas Gerais"
