Usuario,Mensagem,Localizacao
moisesbuenno,"#OndaLaranja do João Amôlejo é a velha #OndaAzul Esquerdista Tucana camuflada do Santo da Odebrecht, dia 7 é 17 na… https://t.co/EyJidTpbxR",Brasil
EdCarvalho1994,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","Caruaru, Brasil"
zerociumes,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",Brasil - Espanha
wahhabmunir,Esquerdista não faz nada para o povo..,"Santa Paula, São Caetano do Su"
coutoserra,"RT @VladimirBorin: Que horror de entrevista...Deus me livre de viver numa  Marinolândia: O cara estuprou: dialoga com ele, fulano matou: va…",Brasília - DF
valeria130693,"RT @Tatibertini: O Bonner perguntando sobre a Marina ter apoiado Aécio. Se eu fosse ela, devolveria a pergunta. Bonner, como vc se sente ho…",
JefersonAndreo2,"#MarinaNoJornalNacional 
- Foi pra expulsão candidata?
- Vamos dialogar sê preciso faremos um plebiscito. https://t.co/NlcSrbEnLt","São Paulo, Brasil"
FranciscoACruz,"RT @BetoSilvaBR: Não vi a entrevista da 
#MarinaNoJornalNacional . Alguém sabe se ela saiu dançando tipo o Bolsonaro? https://t.co/O13QDtJl…",Campo Grande MS
Ulyssesms2,"RT @SimoneRJ_BR: #MarinaNoJornalNacional Resumo: Marina é a candidata mais IN possível: INdecisa, INcapaz, INcompetente e IMoral (por não s…",
leddomado_rj,"RT @henriolliveira: ""MARINA SILVA, e o ABORTO?“
Vamos debater.

""MARINA SILVA, e as DROGAS?“
Vamos debater.

""MARINA SILVA, e as ARMAS?“
Va…","Rio de Janeiro, Brasil"
AnaSofiaBida1,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",
gerakitchens,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,
CesarTorres2014,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…",
telmamenezes,"RT @franciscomacsoa: O único candidato que defende polícia e exercito! Que quer ordem e progresso pro país. 

O único que NÃO é esquerdista…",Natal
summerwine___,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","Rio de Janeiro, Brasil"
FariasAdo,"RT @GiMG__: #MarinaNoJornalNacional

De volta ao túnel do tempo 👇 https://t.co/GVzFY3YShk",Brasília
Pedir_Mais_Cedo,"RT @dabloesse: Sobre Alianças e Corrupção: @realwbonner lembrou a @MarinaSilva que ela teve 22 milhões de votos e que mesmo sabendo do ""Aer…","Uberlândia,MG"
carolinaquino,RT @mannicome: Discurso final da Marina Silva foi o melhor dessa semana DEFINITIVAMENTE #MarinaNoJornalNacional https://t.co/nCgcCvaYLR,"Rio de Janeiro, Brasil"
ricsobreira,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…","Valdosta, GA"
_Analiviaa,"RT @alvxaro: a marina é a única que vai ser julgada pela aparência ou vocês acham o bolsonaro, ciro, amoêdo e etc uma coisa linda? https://…",
joaonog21,RT @DonSergiones: Marina sabe que Dilma foi golpeada sob a liderança de Aécio que ela Marina apoiou e fez campanha. Se Marina fosse uma pes…,
frofernandes,RT @MarinaSilva: Você sabia que o jornal britânico The @guardian colocou Marina Silva entre as 50 pessoas que podem salvar o planeta? Conhe…,
DenizeBongiovi,RT @PastorLiomar: #MarinaNoJornalNacional Vou convocar um plebiscito para saber se o país está pronto para ter plebiscito  ! https://t.co/j…,Brasil
ClariceMPL,"RT @henriolliveira: Engraçado como não fazem certas perguntas a MARINA SILVA, do tipo:

""Você está há mais de 30 anos na vida pública. O qu…","Cambuí, Campinas"
jandrade10,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,
karolteeles,"RT @alvxaro: a marina é a única que vai ser julgada pela aparência ou vocês acham o bolsonaro, ciro, amoêdo e etc uma coisa linda? https://…",
ricsobreira,"RT @BlogDoPim: Capacidade se mostra. Posicionamento, também. Valorizar a trajetória e a superação de adversidades é justo, mas #MarinaNoJor…","Valdosta, GA"
gabipitarelli,RT @mannicome: Discurso final da Marina Silva foi o melhor dessa semana DEFINITIVAMENTE #MarinaNoJornalNacional https://t.co/nCgcCvaYLR,
