Usuario,Mensagem,Localizacao
gilles_araujo,Dilma @dilmabr chama o Meireles @meirelles ! 🤣🤣🤣🤣🤣. #Eleições2018 #Bolsonaro17 #B17 #FraudeNasUrnasEletronicas,nan
Fe_Salvia,RT @jarbasajota: Daciolo ensina Henrique Meirelles como faz uma campanha com R$700!!  Hahahahahahahahaha #Eleições2018 #G1 #Eleicoes2018 #G…,Brasil
fchagasbastos,#Eleições2018 Daciolo passa Meirelles... lembrem-se disso: $700 contra $45 milhões e o MDB nas costas https://t.co/j8OyJIRbcG,nan
everton_tato,Agora é oficial: o @CaboDaciolo passou o @meirelles! #Eleições2018,Florianópolis/SC
FabioOliveira3,"Bom seria uma disputa entre @meirelles e @joaoamoedonovo 
Esse é o Brasil que eu quero
#Eleições2018","Goiânia, Brasil"
rafajorn,"Gente... porque  tão poucos chamaram o Meirelles?

#Eleições2018",nan
thide_souza,"O Meirelles ter gasto 40 milhões para ter 1,6% de voto me fez lembrar de quando paguei adiantado um ano de academia… https://t.co/UoF6NTC4dO","São Paulo, Brasil"
TheDiegoLeonel,"Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #Eleições2018","Maceió, Brasil"
OsMarcheiros,"RT @thide_souza: O Meirelles ter gasto 40 milhões para ter 1,6% de voto me fez lembrar de quando paguei adiantado um ano de academia para e…",Brazil zil zil
memesdaeleicao,"RT @thide_souza: O Meirelles ter gasto 40 milhões para ter 1,6% de voto me fez lembrar de quando paguei adiantado um ano de academia para e…",nan
alexandresena,Grande surpresa destas #Eleições2018: Cabo Daciolo sendo mais votado que Marina e Meirelles.,"Brasília, Brasil"
KingRuckFules,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…","Bom Jesus do Norte, Brasil"
MatheusXXXX_,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Minha casa
Rafael_michelli,Primo do Meireles ai do lado ó,itaguai-japão
sigaolivre,Meirelles fez o sinal de vitória e disse que isso representava a confiança no povo brasileiro e na democracia.… https://t.co/LSM1QNSiNP,"Cuiabá, Brazil"
LittyMauroo,"Esse Meirelles já tem uns 120 anos
#Eleições2018 https://t.co/smC9RMqzmL","Campo Grande, Brasil"
pynguas_,Vera lucia votou no Meirelles #Eleições2018,"Goiânia, GO"
folha,"'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018… https://t.co/fqKLr9193P","São Paulo, Brazil"
baltarquista,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",rio de odio
massa_q,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",nan
SantoSantina,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…","São Paulo, Brasil"
rosisia,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",nan
FransedeCastro,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",Earth
efurbino,Já o Meirelles não venceu nenhum dos dois,"São Paulo, Brasil"
AlfredoCloss,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",nan
cau11,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…","Salvador, Brasil"
PortalTNH1,"Com apenas 2% dos votos válidos, Meirelles coloca mais R$ 9 milhões na própria campanha https://t.co/peN3SJtel8… https://t.co/FEEdYFBWZG","Alagoas, Brasil"
Lrasquilha,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",Sao Paulo - Brasil
viniciussalima,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…","João Pessoa, Brazil"
heitorbo,"RT @folha: 'Churchill venceu a guerra, mas não a eleição', diz Temer sobre Meirelles #folha #Eleições2018 https://t.co/3exHtfmQgE https://t…",44
