Usuario,Mensagem,Localizacao
EduardoAHubler,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
ramirojunior_,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Duque de Caxias, RJ  🔴⚫️"
EnaideAlves,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…",nan
TihXavier,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"Recife, Brasil"
Gersonfersfilho,"RT @RenovaMidia: O candidato do PSL, Jair Bolsonaro, é o mais votado em 17 Estados e no Distrito Federal.

Ele só ficou atrás de Fernando H…",Brasil
sigafabiocruz,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,Salvador
EverardoMeloJr,"SOU CARIOCA VOTO NO BOLSONARO E TENHO A CONVICÇÃO QUE O NORDESTINO É UM POVO VALENTE TRABALHADOR E INTELIGENTE, RES… https://t.co/93oExZ0fcQ","Rio de Janeiro, Brasil"
aldinossauro,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,nan
AnaCecl,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,"Rio de Janeiro, Brasil"
Prangerpink,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,nan
fentyselenita,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,nan
_aline_fonseca,"RT @RainhaCarminha: Agora será Bolsonaro x Haddad
Chegou o momento em que a gente escolhe o menos pior, então vou me posicionar e ficar do…",Nova Iguaçu-Rj
MarcelVictorino,"Vamos à um cálculo básico:
Jair Bolsonaro        46,07%
Fernando Haddad  29,22
Outros:.                    21,71%
P… https://t.co/r0WtX1i9G3","Araruama, Brasil"
juniounb,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…",nan
PedroLuisBauer,"RT @lekocossu: Uma foto resumindo as eleições!
Estamos lutando, vamos chegar lá! Força Brasil!💪🇧🇷   😎👉👉

#Eleições2018 #BolsonaroPresidente…","Pomerode, SC / Brasil"
denianmartins,"RT @lekocossu: Uma foto resumindo as eleições!
Estamos lutando, vamos chegar lá! Força Brasil!💪🇧🇷   😎👉👉

#Eleições2018 #BolsonaroPresidente…",Cordeirópolis - SP - Brasil
