Usuario,Mensagem,Localizacao
Rodrigomachados,"O mais importante nas #Eleições2018  ninguém está falando, o Daciolo está pontuando mais que o Boulos! Hahaha",nan
kronbauerdebora,Cabo daciolo ter mais votos que Marina e Boulos é inadmissível #Eleições2018,"Rio Grande do Sul, Brasil"
AdamLopes,O @CaboDaciolo tem mais votos que a @MarinaSilva e @GuilhermeBoulos,Rio de Janeiro/RJ
gabrielkkkj,boulos amorrrrrrrr,nan
leviosabbey,marina e boulos o br nao merece vcs,ravenclaw
blsckmagic,"marina e boulos q podem ajudar em um segundo turno n conseguiram uma quantidade considerável de votos
é entregar na… https://t.co/EudXa9kwjy",nan
jordaniaemilly,Mano o Boulos com MENOS VOTOS QUE O DACIOLO!!!  O Brasil só tem loucos??????,"Centro, Guarulhos"
KikiMioBS,"Cara, olha como o Brasil é: OLHA A QUANTIDADE DO DACIOLO E A QUANTIDADE DA MARINA E DO BOULOS! OLHA ISSO!",Brazil
biancheti,Daciolo com o dobro do Boulos kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk… https://t.co/P8yA0xxuQc,"São Paulo, Brasil"
stanpurppose,GENTE O BOULOS???????,nan
arnaudmattoso,Otimista: @pstu último lugar dividindo abismo com o invasor de prédios @GuilhermeBoulos O Brasil é um país saudável… https://t.co/eKiLens7h0,Recife PE
BrGuedes,"Nesse momento, Guilherme Boulos, que participou de TODOS OS DEBATES NA TV, tem 5 vezes MENOS votos que o… https://t.co/9R1i6VTrgM","Rio de Janeiro, Brasil"
MiriaFigueiredo,"Pesquisas erraram feio hein...
Marina, Álvaro Dias, Boulos tem menos votos que Daciolo em 68% das #UrnasApuradas no… https://t.co/wvy9kGcgcC","Brasil, São Paulo, São Paulo"
prcyjackspn,boulos o brasil nao te merece,thay lili let luiza iza poly
protectbommie,RT @prcyjackspn: boulos o brasil nao te merece https://t.co/QS1MHtQ5tV,realmadrid&bayernmünchen
GonzattoJoao,Até eu tenho mais voto que o boulos e eu nem participei das eleições,"Silver Spring, MD"
grayixing,boulos meu amor .... .,sjp
viviansimoes,Daciolo acima da Marina e Boulos. Socorroooooo #Eleições2018 até o Bonner observando 👀,nan
Tamy61562161,"@GuilhermeBoulos Votou no Bolsonaro também?
Você não tem chance, sabe disso né?
#Eleições2018 
#bolsonaro17no1oturno 
#Bolsonaro17",nan
carols_castro,Daciolo com mais votos que Marina e Boulos! Não da pra se conformar! #Eleições2018,Brasil
BrDaCorrupcao,"O mais gostoso é ver o @GuilhermeBoulos atrás até do @CaboDaciolo, queria ver aquela carinha de deboche agora com m… https://t.co/rXpKryaSWX","São José dos Campos, Brasil"
bieberxpoetry,Boulos #1 no meu coração,nan
vinispfc21,"KKKJKJKJKKKKKJJK O DACIOLO TEM MAIS VOTOS QUE A MARINA E O BOULOS KJKJKJKK, Glória a Deuxxxx","Joinville, Brasil"
takashirogane_,gente o boulos e a marina #Eleições2018,brasil sil sil 🇧🇷
VanessaRJ6,"Segundo turno vamos todos juntos!!!! Povo de Ciro,De Haddad, Alckmin,Marina, Boulos,Cabo Daciolo,Meireles...todos j… https://t.co/G0dVUH1RYi","Rio de Janeiro, Brasil"
GabyrLavigne,RT @bieberxpoetry: Boulos #1 no meu coração https://t.co/jfCjECohwS,nan
luizzzilli,não aceito Álvaro Dias com mais votos que Boulos esse país merece a miséria mesmo,nan
RangelPhellipe,"500 Mil Votos no Boulos.
Galera ele era divertido, era apenas pra meme, voto era no Ciro!
#Eleições2018","Campos dos Goytacazes, Brasil"
vivicampbell,"O @GuilhermeBoulos teve praticamente o mesmo número de votos do que eu, que nem me candidatei #Eleições2018",Três Rios/Vassouras RJ
hiddleswiftyles,o meu boulos cara :((((,reputation track 9
renatodaflon,"#CaboDaciolo com mais votos que o #Boulos 
#Eleições2018 
🤣🤣🤣🤣🤣🤣",Brasil
petcheets,RT @prcyjackspn: boulos o brasil nao te merece https://t.co/QS1MHtQ5tV,a²/ m² ♡ ؘ
Romenik7,"Meu voto foi lindo #eleições2018 @GuilhermeBoulos Meu voto me entende, me representa, me dá esperança e é meu poder… https://t.co/1B5ycvHd1I",Brasil
Garotadedireit4,O Boulos só serve pra invadir propiedades mésmo #Eleições2018 https://t.co/LPSFpZ1aGL, Brasil
ralbuquerque2,RT @Garotadedireit4: O Boulos só serve pra invadir propiedades mésmo #Eleições2018 https://t.co/LPSFpZ1aGL,nan
rosecajuru,"RT @g1saopaulo: O candidato do PSOL na eleição para presidente, Guilherme Boulos, chega com as filhas para votar na PUC-SP #Eleições2018 ht…",nan
Bfr_Quel,RT @Garotadedireit4: O Boulos só serve pra invadir propiedades mésmo #Eleições2018 https://t.co/LPSFpZ1aGL,Cabral-Nilópolis
AryDias00,"TODO MUNDO QUE VOTOU NA MARINA, NO BOULOS E NO CIRO, recado pra vocês, ainda é tempo de mudanças, qualquer um que f… https://t.co/wgNbP3IcSF","Juiz de Fora, Brasil"
heltonverao,"Sem a oportunidade de participar dos debates, o @joaoamoedonovo ficará a frente de Marina, Meirelles, Boulos, Dacio… https://t.co/W9GuLn9s18","Campo Grande, MS"
sz_hazza,"Vamos juntar a torcida do Haddad, com a do Ciro, da Marina, do Geraldo Alckmin, Daciolo, Boulos e ir td contra o bicarbonaro #Eleições2018",nan
PiadoDjanho_,"Eu, que nem me candidatei, estou tecnicamente empatado com @GuilhermeBoulos e @MarinaSilva #Eleições2018",CURITIBA
VictorNassif,"Obrigado pela campanha brilhante @cirogomes @GuilhermeBoulos ! 2° turno, bora pra rua! ✌🏼","Florianópolis, Brasil"
_phbastos,"Parem! Eu não sou o Boulos. 
#eleições2018 https://t.co/C7jPVhjXKT",Brasil
