Usuario,Mensagem,Localizacao
kelmamilhomem5,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Califórnia, USA"
nabhan_pettri,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Cianorte, Brasil"
pedropaulistano,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Laranjeiras, Rio de Janeiro"
avante_pt,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Santa Catarina, Brasil"
Denys1971,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Curitiba, Brasil"
LVeltri23,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Marechal Hermes
malfeitos,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Brasil, Rio de Janeiro - RJ"
grettyskl,"Obrigada, mais una vez, Norte/Nordeste! #Eleiçoes2018 #HaddadPresidente #EleNão #EleNunca",nan
Luis_Shakur99,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Amadora, Portugal"
BrenoLagartixa,A luta continua sempre! Estamos do lado certo da história. Fascismo nunca mais!!! #Haddad13 #LulaLivre #Eleições2018,nan
claareana,"O governo @Haddad_Fernando retomará a centralidade das políticas para as mulheres, afirmando o protagonismo das mul… https://t.co/VVVpyq8dKb","Brasília, Brasil"
ramoncotta,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…","São Paulo, Brasil"
julianomir,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Alameda dos Anjos(Angel Grove)
caralho_nan,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Hogwarts
