Usuario,Mensagem,Localizacao
anjinha_gii,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018","Angra dos Reis, Rio de Janeiro"
H2Oddio,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Brasil
natyuai,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","em Ipatinga, mas não queria"
rorosantsrod,"@cirogomes vc n pode ter ganho as eleições, mas ganhou meu coração #ViraViraClR0 #Eleições2018",nan
masnoussa,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Paranaguá, Brasil"
guilherme1h2013,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
isabellysccp_,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018",nan
avante_pt,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Santa Catarina, Brasil"
Thalicosts,"RT @rglioche: -Ciro, pra onde vc tá indo nesse momento?
-Eu tô indo ali no barzinho
Melhor entrevista pós-derrota em uma eleição ever
#Elei…","São Paulo, Brasil"
rdomingos4,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Cuiabá 40 graus, Brasil"
idoltaehy,"RT @rglioche: -Ciro, pra onde vc tá indo nesse momento?
-Eu tô indo ali no barzinho
Melhor entrevista pós-derrota em uma eleição ever
#Elei…",༊*·˚ tαekook °·*༊
Naniemolove,"RT @mangolim_andre: To indo Ceará meu novo país 
#Eleições2018
#ViraViraClR0 https://t.co/51bHCCtbuz","Fortaleza, Brasil"
_edruardo,ciro kk,cracolandia
lauregui28,"RT @ddaengbys: ciro gomes na globo news:

- disse que tá grato ao povo brasileiro, especialmente ao cearense que confiou nele;

- disse que…",nan
flaviosc16,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Sete Lagoas, Brasil"
felipeyander,"RT @ddaengbys: ciro gomes na globo news:

- disse que tá grato ao povo brasileiro, especialmente ao cearense que confiou nele;

- disse que…",nan
AllanFrutuozo,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Rio de Janeiro
kopm18,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Kamienica Polska, Polska"
Eduarda1519S,"aiiin deu dó gente 
#CiroGomes12
#Eleições2018 
#FICATEMER https://t.co/mn3wM9kUqW","Barbacena, Brasil"
_samuelblanco,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",K4N04$
preto_jack,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Na minha casa
mirandaeverton,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",nan
Pervesicleidson,"Não foi o Ciro Gomes quem perdeu a eleição, a eleição que perdeu o Ciro Gomes #Eleições2018 https://t.co/f4Ixhcmly1","Pernambuco, Brasil"
lyvianfaria,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Bxd, RJ"
__madgirl,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Brazil
Italooww,O Ceará que experimentou a gestão de Ciro é o único que o elegeria como candidato. Já isso não acontece com o Hadda… https://t.co/M1NWAtJv74,Barra da Tijuca
chelmicarvalho,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Rio De Janeiro
whosaysfairy,"RT @ddaengbys: ciro gomes na globo news:

- disse que tá grato ao povo brasileiro, especialmente ao cearense que confiou nele;

- disse que…","Câncer, Lua"
felislynus,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018","Brasília, Brasil"
news_eduardoc,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Brasil
luizhrios,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
EduAraujo92,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Recreio, ZO"
alisonizando,O CIROKKKKKKKKKKKKK QUE CANDIDATOZINHO MIXURUCAKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,hokage do rio de janeiro
jornalistavitor,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",Brasil
HertzAnimations,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",Paraná
JohnnyParrini,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018",nan
LucasXIIIZero,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Ashgabat,Turkmenistan"
k_rooberta,"RT @Cecillia: “Ele não, sem dúvidas” - Ciro Gomes ao vivo na Globo News #Eleições2018","Recife, Brasil"
Grsilvaa_,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Brasília, Brasil"
NinoDinarelli,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","São Paulo, Brasil"
Marcelo62929078,"Agora é a hora de saber se eleitores do Ciro  são petistas disfarçados. 👀👀👀
#Ciro12 #Eleições2018",nan
higulino17,"RT @jqteix: SE A IDADE MÍNIMA PRA VOTAR FOSSE 12 ANOS O CIRO GOMES ESTARIA NO SEGUNDO TURNO 
#Eleições2018","Embu, Brasil"
IvanSgarabotto,"Urnas apuradas - Presidente (99,99%): 

Jair Bolsonaro (PSL): 46,07%
Fernando Haddad (PT): 29,22%
Ciro Gomes (PDT):… https://t.co/kgIviqvMxX",Caxias do Sul
Leonice20917033,"RT @MeloFelip: Esqueçam o tombo do Ciro e venham apoiar o Haddad no segundo turno, temos que unir forças pra salvar o Brasil meu povo, não…",Valinhos
somariamesmo,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…","Teresina, Piauí"
swriesxt3ddy,"RT @Biscoitaada: @lacerda @fernadeslmila Eu tô chocada, conheci tantas pessoas que disseram votar no Ciro, twitter bombando, não entendo na…",Céu
