Usuario,Mensagem,Localizacao
natalia_mendo,Agora quem decide são os eleitores do Alckmin e do Amoedo ...,BrasIL
asmreis,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h:
Bolsonaro, 48%; Haddad, 26,7%; Ciro, 12,3%; Alckmin, 5%; Am…",Itajubá-MG
DecioNeves,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Lillehammer, Norge"
asmreis,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h15:
Bolsonaro, 47,3%; Haddad, 27,5%; Ciro, 12,4%; Alckmin, 4,…",Itajubá-MG
asmreis,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h30:
Bolsonaro, 47%; Haddad, 27,9%; Ciro, 12,5%; Alckmin, 4%;…",Itajubá-MG
asmreis,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Itajubá-MG
pradifundir,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/Xl7s…,Brazil
socalanarchist,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",California
LateralDerecho6,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h30:
Bolsonaro, 47%; Haddad, 27,9%; Ciro, 12,5%; Alckmin, 4%;…",Chili Center
escribanonavas,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Madrid 
JuniiorDiniz,"Se os eleitores que votarem no Ciro Gomes, Geraldo Alckmin, João Amôedo, Daciolo e outros... Votarem em peso no Had… https://t.co/y5m3Vcxufo",Mossoró RN
_JuniiorDiniz,"RT @JuniiorDiniz: Se os eleitores que votarem no Ciro Gomes, Geraldo Alckmin, João Amôedo, Daciolo e outros... Votarem em peso no Haddad no…",Mossoró/RN
noticiaminutobr,"OFICIAL: Bolsonaro e Haddad disputarão 2º turno. Ciro Gomes ficou em terceiro lugar, seguido por Geraldo Alckmin… https://t.co/DM5UkXKX6q",Brasil
yoshiefuruhashi,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",nan
AdrianaDriRio,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Rio
badrwbieber,"RT @JuniiorDiniz: Se os eleitores que votarem no Ciro Gomes, Geraldo Alckmin, João Amôedo, Daciolo e outros... Votarem em peso no Haddad no…",brazil
rodrigoabsoluto,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Santiago, Chile"
lucasapoficial,"O Ceará diz ""bye bye Alckmin""","Fortaleza, Brasil"
oscar_marandu,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Paraguay
monchocaza,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",santiago 
cybbs,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",nan
levidesouza,"O desempenho do Geraldo Alckmin foi simplesmente ridículo.
Uma estratégia eleitoral completamente equivocada, cheia… https://t.co/YQP79BFFGr","São Paulo, Brasil"
LoboLobonegro5,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Paraguaipoa, Venezuela"
JuanCast72,"RT @tferrerm: São Paulo capital, al 98%:
Bolsonaro 44,6%
Haddad 19,6%
Gomes 14,8%
Alckmin 8,8%
Amoêdo 5,7%
Silva 1,5%
#EleccionesBrasil #El…","Évora, Portugal"
psixue,nem se TODOS que votaram no ciro e no alckmin transfiram os votos pro haddad chega em 46 :(,"gaga, hk, adore"
JesusDValery,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Buenos Aires, Argentina"
PaulaSarovic,"RT @tferrerm: A presidente, al 50% escrutado:
Jair Bolsonaro 49,02%
Fernando Haddad 26,09%
Ciro Gomes 12,3%
Geraldo Alckmin 4,8%
João Amoed…","Santiago, Chile"
alniko1009,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Asunción 
jarvi_reyes,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Venezuela
franja1,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",nan
stharzap,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",PJC - Paraguay
rosaurabastos,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Fortaleza - BRASIL
