Usuario,Mensagem,Localizacao
DI_MARQUES,Gente a marina virou pó #Eleições2018,BRASIL
A_SamCoe,Chocada que Marina Silva não aparece entre os 8 primeiros colocados. #Eleições2018,"Genébra, Suíça"
ThallysBAlm,E a Marina com MENOS DE 1%. Pra quem já chegou a 21% na outra eleição... Caramba. #Eleições2018,"Maceió, AL, Brasil"
itstaylorall,a marina tadinha,nan
vinnybrandt,"Marina Silva tem 0,95% de votos válidos. Está atrás do CABO DACIOLO

RIP Rede Sustentabilidade (2013-2018) #Eleições2018",Rio de Janeiro
_hugoh__,"Marina Silva com 0,95% #Eleições2018 https://t.co/U78fXFHEy8","Londrina, Brasil"
heldernunes,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Três Rios, Rio de Janeiro"
otonstar,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,Rio - SP
OneRestlessMind,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Itaperuna, Brasil"
Thalisonn_,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,55027
CleberMelo81,Impressionante o Amoêdo sem ter participado de NENHUM debate ter ficado melhor que Marina Silva e Meirelles #Eleições2018,"Mogi das Cruzes, Brasil"
fabricioayress2,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Sant'Ana do Livramento, Brasil"
fullsantiag0,"RT @naituita: a marina atrás de daciolo, amoedo, meirelles e álvaro................ https://t.co/541vGOVxVT",nan
territorialfae,Gente scrr que o Daciolo tá na frente da Marina e do Boulos kkkkklkkkkll GLÓRIA DEUX #Eleições2018 https://t.co/hDLMTgK1l2,Wendlyn
fwlings,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,"Santo Antônio do Descoberto, Brasil"
rglioche,"O brasileiro votou com o fígado, e justamente por isso uma candidatura como a de Marina desidratou tão velozmente.… https://t.co/k9rYuDWjCE","São Paulo, Brasil"
mafer0091,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,"Maringá, Brasil"
DanyAlves_FLA,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Rio de Janeiro, Brasil"
Kaah_Damaceno,"RT @_hugoh__: Marina Silva com 0,95% #Eleições2018 https://t.co/U78fXFHEy8","Frutal, Brasil"
repwtation,marina merecia mais e vai tomar no cu esse país, –high lady of the night court
Gregory_reis,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,RS
Evandro_Olliver,"Cabo Daciolo na frente da Marina Silva, ela não merecia isso. 
#Eleições2018 https://t.co/QnglL8vZI2",São Paulo
Rah_bertaz,Pífia a participação da Marina e do Alckmin heim? #Eleições2018,São Paulo
mirandaeverton,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,nan
