Usuario,Mensagem,Localizacao
vinileolau,"Haddad vai precisar de todos os votos de 
Ciro 
Alkmin 
Amoedo 
Daciolo 
Meireles e 
Marina.

Bolsonaro os de Alkmin

#Eleições2018",Brasil
jeff_farias,@joaoamoedonovo bem a frente da @MarinaSilva @GuilhermeBoulos @meirelles e @alvarodias_. É deu pra entender bem a l… https://t.co/HqNHWZeNGH,nan
majewskicrvg,Boa Amoedo!,nan
Bertola6930,RT @RenovaMidia: João Amoêdo (Novo) disse que não vê “possibilidade de apoiar o PT” em um eventual segundo turno e considera apoio a Jair B…,Paraná
DESTRO31489544,"Alou, eleitores do Amoedo!!! Já votaram no cara e viram que só deu m*rda! Por isso se juntem à nós e votem 17 no se… https://t.co/2JxGQDgE0K",nan
karinaacorreac,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Natal, Brasil"
leaoxcvi,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Bahia, Brasil"
CleberMelo81,Impressionante o Amoêdo sem ter participado de NENHUM debate ter ficado melhor que Marina Silva e Meirelles #Eleições2018,"Mogi das Cruzes, Brasil"
fullsantiag0,"RT @naituita: a marina atrás de daciolo, amoedo, meirelles e álvaro................ https://t.co/541vGOVxVT",nan
taylorsel1,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",nan
MStrynner,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Santana, SP"
giovannaspsbs,RT @CleberMelo81: Impressionante o Amoêdo sem ter participado de NENHUM debate ter ficado melhor que Marina Silva e Meirelles #Eleições2018,nan
taurinatuita,"RT @naituita: a marina atrás de daciolo, amoedo, meirelles e álvaro................ https://t.co/541vGOVxVT",nan
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Embu, SP"
EmanuelBose,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",PR
gaabiteixeeira,"UMA VERGONHA, AMOEDO NA FRENTE DE MUUUUITA GENTE, NÃO PARTICIPOU DE NENHUM DEBATE, NOJO DESSA POLÍTICA!!!!!","Birigui, São Paulo"
gomezcarolinee,Amoêdo 🧡 ta entre os 5 vivi para te vê nas enquetes @joaoamoedonovo TO FELIZ PRA CARALHO!!!! 🍊🌊🧡🙏🏻#Eleições2018,nan
