Usuario,Mensagem,Localizacao
loloo_chan,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,tô na Lanterna dos Afogados
leclercvicter,"Acabou para Romero Jucá, Dilma, Lindberg Farias, Alckmin, Vanessa Grazziotin, Beto Richa, Fernando Pimentel, Marcon… https://t.co/9vEh3XXYR8","Niterói, Brasil"
pqp_igor16,Daciolo 2022: tão deixando a gente sonhar,nan
PedroHe8803,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rio de Janeiro, Brasil"
lucasceg,"Acabou para Romero Jucá, Dilma, Lindberg Farias, Alckmin, Vanessa Grazziotin, Beto Richa, Fernando Pimentel, Marcon… https://t.co/lHmfLpe7GH","Manaus, Brasil"
hugow10,"RT @leclercvicter: Acabou para Romero Jucá, Dilma, Lindberg Farias, Alckmin, Vanessa Grazziotin, Beto Richa, Fernando Pimentel, Marconi Per…","Gravatá - Pernambuco, Brasil"
JornalismoWando,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Brasil
naiivne,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,italia/brasil
SraPatalogica,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Mundo
Lgolba,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",curitiba - PR
NotNowLucas,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",São Paulo - São Bernardo
pepper_chico,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","São Bernardo do Campo, Brasil"
RicardoMarilena,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","Marilena, Brasil"
profMatthias,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
paneleirotriste,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
VemPraMassa,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Brasil
Homer_Verdao,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","Springfield, MA"
le_le_ixo,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
titiaopina,"RT @annavirginia: Cena curiosa: @CaboDaciolo carrega nos braços a cadeirante Elia Maria, 69, na seção. “Vai votar, sim, varoa!” Depois, diz…","São Paulo, Brasil"
Politica_Santos,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…","Santos, Sao Paulo, Brasil"
briga_dierr,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Itaboraí, Brasil"
nkhsccp,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",normani . selena
